Supplier_Name,PO_ID,Date,Value_INR
Envitest Laboratories Pvt Ltd,PUR-ORD-2024-00878,11-03-2024,970000
ESTECO Software India Pvt Ltd,PUR-ORD-2021-00010,18-11-2021,933570
ESTECO Software India Pvt Ltd,PUR-ORD-2023-00526,29-03-2023,933570
Ananya  Technologies Pvt. Ltd,PUR-ORD-2023-02002,29-08-2023,926250
Solize India Technologies Pvt Ltd,PUR-ORD-2024-01363-1,07-04-2024,925000
Bhogal Aero Tech,PUR-ORD-2024-00885,12-03-2024,900000
Envitest Laboratories Pvt Ltd,PUR-ORD-2024-01124,26-03-2024,850000
FUTURZ AND OPTIONS,PUR-ORD-2022-01136,26-09-2022,850000
Envitest Laboratories Pvt Ltd,PUR-ORD-2024-01615,03-05-2024,812000
BHARTI AIRTEL LIMITED,PUR-ORD-2021-00005,17-11-2021,800000
Envitest Laboratories Pvt Ltd,PUR-ORD-2022-01720,14-12-2022,750000
AETHRONE AEROSPACE,PUR-ORD-2022-01260,12-10-2022,746371
Blue Star Engineering & Electronics Limited,PUR-ORD-2023-02826,17-11-2023,741000
Z-Crossing Solutions Pvt Ltd,PUR-ORD-2022-00811,29-07-2022,675000
"Dell International Services India Pvt.,Ltd.",PUR-ORD-2023-02788,15-11-2023,672000
Flight mode,PUR-ORD-2023-02518,25-10-2023,649700
VROOM,PUR-ORD-2023-00920,12-05-2023,627118.9
Systematic Systems,PUR-ORD-2023-02737,09-11-2023,602962.39
Drone Federation India,PUR-ORD-2023-02539,27-10-2023,600000
Metal Storage System Pvt Ltd,PUR-ORD-2024-00048,04-01-2024,600000
Telled Marketing,PUR-ORD-2023-00445,21-02-2023,600000
VVDN Technologies Private Limited,PUR-ORD-2023-00428,01-03-2023,595300
Absolute Composites Pvt Ltd,PUR-ORD-2022-00070,03-02-2022,590000
Tiltas Systems LLP,PUR-ORD-2024-01623,03-05-2024,563200
CADCUZ Software Consultants,PUR-ORD-2024-00962,18-03-2024,560000
VVDN Technologies Private Limited,PUR-ORD-2023-02325,02-10-2023,556523.1
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2023-02455,16-10-2023,552706
Aidin Technologies Pvt Ltd,PUR-ORD-2022-00601-1,21-06-2022,550000
Smarten Power Systems Pvt. Ltd.,PUR-ORD-2022-01402,31-10-2022,550000
SimplyFlying Innovation And Technology Pvt.Ltd,PUR-ORD-2022-01138,26-09-2022,543000
Aidin Technologies Pvt Ltd,PUR-ORD-2022-01244,05-10-2022,529125
Aidin Technologies Pvt Ltd,PUR-ORD-2022-01619,29-11-2022,529125
Paras Aerospace Private Ltd,PUR-ORD-2022-01481,09-11-2022,525000
Altium Software India Pvt Ltd,PUR-ORD-2023-00501,24-03-2023,521100
Altium Software India Pvt Ltd,PUR-ORD-2024-00810,07-03-2024,521100
MANUFAC,PUR-ORD-2022-00855,09-08-2022,512000
Rajavans Business Solution,PUR-ORD-2022-00111,25-02-2022,500000
NXM INDIA PVT LTD,PUR-ORD-2022-00251,06-04-2022,489500
NXM INDIA PVT LTD,PUR-ORD-2022-01118,23-09-2022,489500
Paras Aerospace Private Ltd,PUR-ORD-2022-01170-1,29-09-2022,484345
Convergent Technologies India Pvt Ltd,PUR-ORD-2022-00434-1,23-05-2022,469300
Valdel Advanced Technologies Pvt Ltd,PUR-ORD-2022-00282-2,19-04-2022,457650
Kalyx Networks Private Limited.,PUR-ORD-2024-00509,14-02-2024,447000
Tiltas Systems LLP,PUR-ORD-2024-01621,03-05-2024,434500
AVIANCO TECHNOLOGIES PVT. LTD,PUR-ORD-2023-02657,05-11-2023,433425.42
JUPITOR TOOLS,PUR-ORD-2021-00013-1,18-11-2021,431000
NXM INDIA PVT LTD,PUR-ORD-2023-01566,12-07-2023,429550
Kalyx Networks Private Limited.,PUR-ORD-2022-01388,28-10-2022,428000
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2022-01167,29-09-2022,425000
enArka India Private Limited,PUR-ORD-2021-00030,30-11-2021,425000
DT Techsolutions Pvt Ltd,PUR-ORD-2022-00531-2,10-06-2022,413500
ATRIA CONVERGENCE TECHNOLOGIES LTD,PUR-ORD-2022-00954,26-08-2022,400000
CENTER FOR SCIENTIFIC AND INDUSTRIAL CONSULTANCY ,PUR-ORD-2023-00260,14-02-2023,400000
AXIS ALLIANZ,PUR-ORD-2024-01614,03-05-2024,398500
F1 INFOTECH PRIVATE LIMITED,PUR-ORD-2024-01135,27-03-2024,369375
Absolute Composites Pvt Ltd,PUR-ORD-2022-00149,15-03-2022,367500
Element14 India Private Limited,PUR-ORD-2024-00124,10-01-2024,364500.01
AETHRONE AEROSPACE,PUR-ORD-2022-00177,24-03-2022,353366.5
Siemens Limited,PUR-ORD-2024-00214-2,22-03-2024,349000
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED ,PUR-ORD-2023-02787,15-11-2023,347700
Synapse Communication Design Pvt,PUR-ORD-2023-02772,15-11-2023,345000
DELL International Services India Pvt Ltd,PUR-ORD-2022-00981,02-09-2022,330100
Bhogal Aero Tech,PUR-ORD-2024-01538,25-04-2024,325000
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED ,PUR-ORD-2024-01856,22-05-2024,320899
Central  Power  Research  Institute,PUR-ORD-2022-00741,21-07-2022,315400
Widerange group,PUR-ORD-2023-03015,07-12-2023,315350
"CQA(L) LABs DGQA, Ministry of Defence,",PUR-ORD-2024-01085,25-03-2024,313890
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2024-00233,29-01-2024,312846
Ninetron Tech LLP,PUR-ORD-2024-01011,19-03-2024,309000
Ninetron Tech LLP,PUR-ORD-2024-01370,18-03-2024,309000
Shahputra Trading Private Limited,PUR-ORD-2022-00362,06-05-2022,306796.9
Kanak India Sales Service,PUR-ORD-2022-01096,19-09-2022,305000
DELL International Services India Pvt Ltd,PUR-ORD-2022-00999,07-09-2022,303100
AB MOBILE AND TERMINALS PRIVATE LIMITED,PUR-ORD-2023-02476,18-10-2023,300000
AB MOBILE AND TERMINALS PRIVATE LIMITED,PUR-ORD-2024-00250,23-01-2024,300000
Shahputra Trading Private Limited,PUR-ORD-2024-01756,16-05-2024,298630
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2024-01230,04-04-2024,297667
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2024-01231,04-04-2024,297667
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2024-01764,16-05-2024,297667
Arka Instruments Incorporation,PUR-ORD-2021-00048,22-12-2021,295400
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2023-00077,11-01-2023,295000
Telled Marketing,PUR-ORD-2024-01102,25-03-2024,294500
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2023-02596,02-11-2023,292172
Kalyx Networks Private Limited.,PUR-ORD-2024-01083,22-03-2024,283530
Paras Aerospace Private Ltd,PUR-ORD-2022-01180-1,30-09-2022,282534
Deutsch Quality Systems India Pvt Ltd,PUR-ORD-2023-00692,20-04-2023,280000
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2023-00078,11-01-2023,275000
Valdel Advanced Technologies Pvt Ltd,PUR-ORD-2023-02233,21-09-2023,272000
Valdel Advanced Technologies Pvt Ltd,PUR-ORD-2023-02405,21-09-2023,272000
ATRIA CONVERGENCE TECHNOLOGIES LTD,PUR-ORD-2021-00003,17-11-2021,270000
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2022-00238,05-04-2022,270000
L.J. TECHNOLOGIES,PUR-ORD-2022-01249,11-10-2022,269660
VVDN Technologies Private Limited,PUR-ORD-2024-00193,17-01-2024,265900
MathWorks India Private Limited,PUR-ORD-2023-00477,15-03-2023,265000
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2022-00781,26-07-2022,265000
 Vantage Systems Inc,PUR-ORD-2022-00998,07-09-2022,264963.36
H G Infra ,PUR-ORD-2024-00685,28-02-2024,262600
Shahputra Trading Private Limited,PUR-ORD-2022-00255,07-04-2022,261302.2
TATA TELESERVICES LIMITED,PUR-ORD-2022-01003,09-09-2022,260000
Shahputra Trading Private Limited,PUR-ORD-2021-00025-1,29-11-2021,254515.13
DELL International Services Pvt Ltd,PUR-ORD-2021-00009,18-11-2021,253100
DELL International Services Pvt Ltd,PUR-ORD-2022-00488,02-06-2022,253100
Arka Instruments Incorporation,PUR-ORD-2021-00051,22-12-2021,250338.98
Envitest Laboratories Pvt Ltd,PUR-ORD-2024-01595,30-04-2024,250000
Flight mode,PUR-ORD-2023-02519,25-10-2023,249462
Kalpin Tech Private Limited,PUR-ORD-2023-00327,16-02-2023,246000
JOST'S ENGINEERINGCOMPANY LIMITED,PUR-ORD-2024-01126,27-03-2024,245000
Z-Crossing Solutions Pvt Ltd,PUR-ORD-2022-00839,03-08-2022,244010
VVDN Technologies Private Limited,PUR-ORD-2024-01159,29-03-2024,239300
DELTALINE,PUR-ORD-2022-00335,29-04-2022,239000
Massif Marketing,PUR-ORD-2023-03094-1,13-12-2023,237084.28
Towers Infotech Pvt Ltd,PUR-ORD-2022-00916,22-08-2022,236610
Cinescope India,PUR-ORD-2024-00780,05-03-2024,235000
CRENNOVATIONS 3D TECHNOLOGIES PRIVATE LIMITED,PUR-ORD-2022-01376,27-10-2022,234100
DELL International Services Pvt Ltd,PUR-ORD-2022-00814,29-07-2022,232900
White Massif Creations LLP,PUR-ORD-2023-01165,08-06-2023,231000
SimplyFlying Innovation And Technology Pvt.Ltd,PUR-ORD-2022-00987,06-09-2022,230000
Cinescope India,PUR-ORD-2024-00928,04-03-2024,225000
SWEN HVAC Engineers,PUR-ORD-2024-01332,15-04-2024,223530
EMC - RF Technology Solutions,PUR-ORD-2023-02449,16-10-2023,222000
Cinescope India,PUR-ORD-2022-01521,15-11-2022,220000
Cinescope India,PUR-ORD-2023-02031,31-08-2023,220000
DELL International Services India Pvt Ltd,PUR-ORD-2022-01573,24-11-2022,218600
DELL International Services Pvt Ltd,PUR-ORD-2022-00710,13-07-2022,218000
Canon India Pvt Ltd,PUR-ORD-2024-01029-1,30-04-2024,217252
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2023-03255,28-12-2023,216552
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2024-00958,18-03-2024,216552
RELIANCE JIO INFOCOMM LIMITED,PUR-ORD-2024-01474,22-04-2024,216000
Towers Infotech Pvt Ltd,PUR-ORD-2022-01113,22-09-2022,215000
BFMA CARGO MOVERS,PUR-ORD-2023-01216,13-06-2023,213675
Pragathi Tools and Dies,PUR-ORD-2023-01013,24-05-2023,212000
DELL International Services India Pvt Ltd,PUR-ORD-2022-00996,07-09-2022,211800
Uma Enterprises,PUR-ORD-2024-00591,20-02-2024,210000
Integrated Services and Consultancy,PUR-ORD-2023-01209,12-06-2023,209653.2
Towers Infotech Pvt Ltd,PUR-ORD-2022-00983,02-09-2022,207980
MathWorks India Private Limited,PUR-ORD-2024-01136,27-03-2024,207270
Revamp Power Soultions,PUR-ORD-2023-01896,12-08-2023,206000
Towers Infotech Pvt Ltd,PUR-ORD-2022-01591,26-11-2022,201300
Accord Software & Systems Pvt Ltd,PUR-ORD-2023-00452,28-02-2023,200000
MathWorks India Private Limited,PUR-ORD-2022-00343,02-05-2022,200000
Pragathi Tools and Dies,PUR-ORD-2022-01353-1,22-10-2022,200000
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2022-00442,26-05-2022,200000
Aircare Engineering,PUR-ORD-2023-00556,01-04-2023,197000
Q Max Composites Systems,PUR-ORD-2022-00619,23-06-2022,195000
DELL International Services Pvt Ltd,PUR-ORD-2022-00404,18-05-2022,194200
Digital Core Technologies Pvt Ltd,PUR-ORD-2023-03079,12-12-2023,194000
Amazon,PUR-ORD-2022-00818,02-08-2022,189999
SM Electrnic Technologies Pvt Ltd,PUR-ORD-2021-00040,09-12-2021,187790
Dell International Services India Pvt. Ltd ,PUR-ORD-2022-00752,22-07-2022,187000
D S Power,PUR-ORD-2024-00144,11-01-2024,186500
Pavilions and Interiors (India) Pvt. Ltd.,PUR-ORD-2022-01229,10-10-2022,185000
Genset World ,PUR-ORD-2023-00764,28-04-2023,184750
VVDN Technologies Private Limited,PUR-ORD-2023-01170,08-06-2023,183601.82
Genset World ,PUR-ORD-2022-01216,08-10-2022,183051
Mini Machine Tools India Pvt Ltd,PUR-ORD-2024-01133,27-03-2024,182950
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2023-02769,14-11-2023,180000
Cinescope India,PUR-ORD-2024-01009,19-03-2024,180000
SimplyFlying Innovation And Technology Pvt.Ltd,PUR-ORD-2022-00986,05-09-2022,180000
Aidin Technologies Pvt Ltd,PUR-ORD-2023-01824,03-08-2023,179789
Towers Infotech Pvt Ltd,PUR-ORD-2023-00442,02-03-2023,179360
Sheeltron Digital Systems Private Limited,PUR-ORD-2022-00226,01-04-2022,177000
EMI Solutions Pvt Ltd,PUR-ORD-2024-02196,09-08-2024,175500
Pragathi Tools and Dies,PUR-ORD-2022-01411,01-11-2022,175000
Taneja Aerospace & Aviation Limited,PUR-ORD-2023-00126,17-01-2023,175000
Aircare Engineering,PUR-ORD-2022-00517,07-06-2022,170000
EMI Solutions Pvt Ltd,PUR-ORD-2024-01139,27-03-2024,170000
GOTAWAT INDUSTRIAL CORPORATION,PUR-ORD-2023-02738,10-11-2023,169000
ROOTS MULTICLEAN LTD,PUR-ORD-2024-01360-1,15-04-2024,168252.59
QMax Composites Systems,PUR-ORD-2022-01301,16-10-2022,162000
Canon India Pvt Ltd,PUR-ORD-2023-00877,09-05-2023,161500
DELL International Services India Pvt Ltd,PUR-ORD-2022-00825,02-08-2022,160100
Kalpin Tech Private Limited,PUR-ORD-2022-00676,12-07-2022,160000
KR ENGINEERS,PUR-ORD-2023-01923,18-08-2023,160000
Revamp Power Soultions,PUR-ORD-2023-00856-1,05-05-2023,158000
VASAN ENGINEERING WORKS,PUR-ORD-2023-00101,14-01-2023,158000
AARJAY INTERNATIONAL PVT LTD,PUR-ORD-2023-01917,17-08-2023,157000
Ninetron Tech LLP,PUR-ORD-2024-01055,21-03-2024,157000
Rashi Peripherals Ltd,PUR-ORD-2022-01406,31-10-2022,155922
RP Tech India,PUR-ORD-2022-00560,14-06-2022,155922
"Mouser Electronics, Inc.",PUR-ORD-2023-02148,12-09-2023,155528.54
Value Point Systems Pvt Ltd,PUR-ORD-2023-00251,10-02-2023,155490
Ninetron Tech LLP,PUR-ORD-2024-01748,15-05-2024,154145
"3Dbazar.in	",PUR-ORD-2024-00487,12-02-2024,152966
"3Dbazar.in	",PUR-ORD-2024-00963,18-03-2024,152966
AADI IT SOLUTIONS,PUR-ORD-2024-00827,07-03-2024,151678
DELL International Services India Pvt Ltd,PUR-ORD-2023-00068,10-01-2023,150900
ATRIA CONVERGENCE TECHNOLOGIES LTD,PUR-ORD-2022-00997,05-09-2022,150000
FILIX CONSULTING PVT LTD ,PUR-ORD-2024-02199,09-08-2024,150000
GREAT EMPLOYERS PRIVATE LIMITED,PUR-ORD-2023-01423,27-06-2023,150000
Kalpin Tech Private Limited,PUR-ORD-2021-00023,29-11-2021,150000
EMI Solutions Pvt Ltd,PUR-ORD-2024-01873,28-05-2024,149750
DELL International Services India Pvt Ltd,PUR-ORD-2022-00896,12-08-2022,149500
DELL International Services India Pvt Ltd,PUR-ORD-2022-01776,23-12-2022,149500
DELL International Services Pvt Ltd,PUR-ORD-2022-00624,23-06-2022,149500
MathWorks India Private Limited,PUR-ORD-2024-00420,15-01-2024,148000
Precision Electronics Limited,PUR-ORD-2023-01567,07-07-2023,148000
Accord Software & Systems Pvt Ltd,PUR-ORD-2023-02381,09-10-2023,145000
Disha Vacuum Pump & Service,PUR-ORD-2023-00711,21-04-2023,140650
MathWorks India Private Limited,PUR-ORD-2023-01757,27-07-2023,140000
TUV RHEINLAND (INDIA) PVT LTD,PUR-ORD-2024-02182,08-08-2024,140000
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2023-00079,11-01-2023,139800
Altium Software India Pvt Ltd,PUR-ORD-2024-00812,07-03-2024,138900
DELL International Services India Pvt Ltd,PUR-ORD-2022-01501,14-11-2022,138500
DELL International Services Pvt Ltd,PUR-ORD-2022-00788,27-07-2022,138300
Kramer Electronics India Pvt Ltd,PUR-ORD-2024-00127,10-01-2024,137941
VVDN Technologies Private Limited,PUR-ORD-2022-01631,01-12-2022,137503.25
THIRD WAVE RUGGEDTECH PRIVATE LIMITED,PUR-ORD-2022-00232,04-04-2022,135000
Integrated Services and Consultancy,PUR-ORD-2023-00621,13-04-2023,132000
"TECHNOSYS EMBEDDED SYSTEMS PVT LTD	",PUR-ORD-2024-01015,19-03-2024,132000
Meco Meters Private Limited,PUR-ORD-2022-00463,24-05-2022,131771
"Visco Technologies	",PUR-ORD-2024-00129,10-01-2024,131263
Pragathi Tools and Dies,PUR-ORD-2022-01456,05-11-2022,130000
Books & Data Analytics Solution,PUR-ORD-2022-01106,21-09-2022,127890
Kramer Electronics India Pvt Ltd,PUR-ORD-2024-00444,09-02-2024,127859
e-con Systems India Private Limited,PUR-ORD-2024-02271,28-08-2024,126084
Aeron System Pvt Ltd,PUR-ORD-2022-00722,14-07-2022,125900
Aeron System Pvt Ltd,PUR-ORD-2022-01154,28-09-2022,125900
Aeron System Pvt Ltd,PUR-ORD-2023-01157,06-06-2023,125600
WOL 3D,PUR-ORD-2022-00342,02-05-2022,125423.73
EMI Solutions Pvt Ltd,PUR-ORD-2024-01140,27-03-2024,125000
Kalpin Tech Private Limited,PUR-ORD-2024-00020,03-01-2024,125000
EMI Solutions Pvt Ltd,PUR-ORD-2024-01872,28-05-2024,124375
iPremium India,PUR-ORD-2022-01405,31-10-2022,124000
Revamp Power Soultions,PUR-ORD-2023-02217,19-09-2023,124000
NET DISTRIBUTION SERVICES PVT. LTD,PUR-ORD-2022-01264,12-10-2022,123070
Value Point Systems Pvt Ltd,PUR-ORD-2023-00067,10-01-2023,121600
Central  Power  Research  Institute,PUR-ORD-2022-01144,27-09-2022,120400
AB MOBILE AND TERMINALS PRIVATE LIMITED,PUR-ORD-2024-01968,18-06-2024,120000
Precision Electronics Limited,PUR-ORD-2022-01692,11-12-2022,120000
Springboard Advertising,PUR-ORD-2022-00131,09-03-2022,120000
Aeron System Pvt Ltd,PUR-ORD-2023-01167,08-06-2023,119320
Ripple Technologies,PUR-ORD-2022-01594,26-11-2022,119256
Autoconz Consulting Group,PUR-ORD-2023-00757,27-04-2023,119000
Ninetron Tech LLP,PUR-ORD-2024-02068,15-07-2024,116290
Macfos Limited,PUR-ORD-2024-01317,12-04-2024,114406.78
Ninetron Tech LLP,PUR-ORD-2024-01686,10-05-2024,114285.7
Gravity India Technologies Pvt. Ltd.,PUR-ORD-2024-00593-1,18-06-2024,113000
Dazzle Robotics Pvt. Ltd,PUR-ORD-2024-00849,09-03-2024,112384
MathWorks India Private Limited,PUR-ORD-2024-01344,15-04-2024,112000
MathWorks India Private Limited,PUR-ORD-2024-02299,03-09-2024,112000
Ninetron Tech LLP,PUR-ORD-2024-02158,24-05-2024,108000
RS Components & Controls (I) Ltd,PUR-ORD-2024-01300,12-04-2024,107105.66
ESKAY-ESKAY HEAT TRANSFERS PVT LTD,PUR-ORD-2024-02160,31-07-2024,106000
MathWorks India Private Limited,PUR-ORD-2023-01869,10-08-2023,106000
Shahputra Trading Private Limited,PUR-ORD-2022-00291,20-04-2022,105536
ATLANTIS ERUDITION & TRAVEL SERVICES PRIVATE  LIMITED,PUR-ORD-2023-01902,14-08-2023,104237
VVDN Technologies Private Limited,PUR-ORD-2023-01984,01-03-2023,102695
JAHAGIRDAR  AERO  PRODUCTS ,PUR-ORD-2022-01157,28-09-2022,102000
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2022-01251,11-10-2022,100000
PRISAC AVIATION TECHNOLOGIES PRIVATE LIMITED,PUR-ORD-2022-01044,15-09-2022,100000
PRISAC AVIATION TECHNOLOGIES PRIVATE LIMITED,PUR-ORD-2022-01045,15-09-2022,100000
SLN Patterns,PUR-ORD-2022-01363,25-10-2022,100000
intersact Technologies,PUR-ORD-2021-00012,18-11-2021,99000
KR ENGINEERS,PUR-ORD-2023-02327,03-10-2023,99000
Icon Electromatic Private Limited,PUR-ORD-2024-00260,11-01-2024,98850
Dell International Services India Pvt. Ltd ,PUR-ORD-2021-00008,18-11-2021,98800
 UAV Garage Pvt Ltd,PUR-ORD-2024-02261,28-08-2024,98000
Precision Electronics Limited,PUR-ORD-2023-02309,30-09-2023,97500
Precision Electronics Limited,PUR-ORD-2023-03076,12-12-2023,97500
Systematic Systems,PUR-ORD-2023-02988,05-12-2023,97177.4
SUPERTRONICS,PUR-ORD-2024-00702,27-02-2024,96000
TE Tech solution,PUR-ORD-2023-03006,06-12-2023,95550
Solize India Technologies Pvt Ltd,PUR-ORD-2022-01033,14-09-2022,95000
Taksham Enterprises Pvt Ltd,PUR-ORD-2023-01218,13-06-2023,94800
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-02156,12-09-2023,94747
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-02926,28-11-2023,94747
ATLANTIS ERUDITION & TRAVEL SERVICES PRIVATE  LIMITED,PUR-ORD-2024-00568,20-02-2024,94533.89
Comfort Solutions,PUR-ORD-2022-00364,09-05-2022,94000
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED ,PUR-ORD-2024-00473,12-02-2024,93970
JSM Composites,PUR-ORD-2024-02219,14-08-2024,92500
SM Electronic Technologies Pvt Ltd,PUR-ORD-2024-01400,14-03-2024,92299.15
Shahputra Trading Private Limited,PUR-ORD-2023-03216,21-12-2023,91667
DELL International Services India Pvt Ltd,PUR-ORD-2022-01701-1,13-12-2022,91500
Solize India Technologies Pvt Ltd,PUR-ORD-2023-02222,08-09-2023,90000
Solize India Technologies Pvt Ltd,PUR-ORD-2024-00919-1,14-03-2024,90000
Zuru Services LLP,PUR-ORD-2023-02935,28-11-2023,90000
Third Eye Technologies,PUR-ORD-2021-00050,22-12-2021,89001
Q Max Composites Systems,PUR-ORD-2022-00358,05-05-2022,89000
Foto Circle,PUR-ORD-2022-01749,20-12-2022,88848.3
NET DISTRIBUTION SERVICES PVT. LTD,PUR-ORD-2022-00530,20-05-2022,87205.93
Cartel Infosystems Private Limited.,PUR-ORD-2021-00052,24-12-2021,86000
BLUEKEI SOLUTIONS PRIVATE LIMITED,PUR-ORD-2022-00715,14-07-2022,85000
Creative Interiors ,PUR-ORD-2022-00959,26-08-2022,85000
PANTAGONE TECHNOLOGIES INDIA PVT. LTD,PUR-ORD-2023-01938,20-08-2023,84999
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-02226,19-08-2024,84256.4
Absolute Composites Pvt Ltd,PUR-ORD-2022-00192,28-03-2022,83996
Cinescope India,PUR-ORD-2022-01802,26-12-2022,83500
Cadspro Technologies Pvt. Ltd.,PUR-ORD-2023-02288,27-09-2023,83225
"CQA(L) LABs DGQA, Ministry of Defence,",PUR-ORD-2024-00159,12-01-2024,82782
"CQA(L) LABs DGQA, Ministry of Defence,",PUR-ORD-2024-01700,12-05-2024,82782
"CQA(L) LABs DGQA, Ministry of Defence,",PUR-ORD-2024-00556,19-02-2024,82728
"CQA(L) LABs DGQA, Ministry of Defence,",PUR-ORD-2024-01706,12-05-2024,82728
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED ,PUR-ORD-2024-02067,15-07-2024,82000
Precision Electronics Limited,PUR-ORD-2024-01279,10-04-2024,82000
Amazon,PUR-ORD-2024-01026,20-03-2024,81597
DELL International Services Pvt Ltd,PUR-ORD-2021-00007,18-11-2021,80100
Absolute Composites Pvt Ltd,PUR-ORD-2022-00160,17-03-2022,80000
Flight mode,PUR-ORD-2024-01778,16-05-2024,80000
Goodwill Enterprises,PUR-ORD-2023-00100,13-01-2023,80000
Sri ganesh Power Services ,PUR-ORD-2022-01465,07-11-2022,80000
Dazzle Robotics Pvt. Ltd,PUR-ORD-2024-02281,30-08-2024,79000
