S no,Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,Air_Quality_Index_PM,Cloudiness, Power_Consumption_in_A_Zone
216,15.27,55.93,,440.2,41.83,159,1,20870.51672
217,15.21,55.69,,452.5,41.73,157,1,20757.44681
218,15.18,57.2,,,42.38,153,1,20429.17933
219,15.11,57.86,,469.9,43.43,150,1,19608.51064
220,15.1,58.33,,476.2,43.25,158,1,19604.86322
221,15.26,58.8,,482.3,44.1,157,1,19706.99088
222,15.15,60.87,,485.1,44.53,154,1,19597.56839
223,15.23,60.53,,487.1,44.09,155,1,19593.92097
224,15.22,60.2,,487.6,44.43,154,1,19568.38906
225,15.22,59.83,,486.9,44.29,151,1,19608.51064
226,15.33,59.16,,484.1,43.72,152,1,19728.87538
227,15.41,58.13,,481.1,43.82,153,1,19462.61398
228,15.43,58,,477.2,43.68,152,1,19469.90881
229,15.56,56.03,,470.9,42.8,156,1,19517.32523
230,15.59,55.73,,463.4,42.58,154,1,19914.89362
231,15.47,56.29,,451.8,42.83,153,1,19936.77812
232,15.55,55.99,,441.9,41.88,157,1,19878.41945
233,15.57,56.53,,427.9,42.14,150,1,20053.49544
234,15.64,55.35,,413.9,41.5,153,1,21669.30091
235,15.59,55.76,,399.4,40.61,151,1,21559.87842
236,15.58,57.03,,381.1,42.48,153,1,21574.46809
237,15.49,57.19,,364.3,45.96,152,1,21260.79027
238,15.45,57.86,,345.8,57.35,153,1,21406.68693
239,15.36,57.72,,324.6,79.5,159,1,21275.37994
240,15.38,58.02,,302.9,121.3,153,1,20936.17021
241,15.37,58.59,,280.3,184,153,1,20728.26748
242,15.23,59.76,,260.6,238,150,1,20750.15198
243,15.23,61.12,,238.2,253.4,152,1,20611.55015
244,15.24,61.63,,216.8,248.1,155,1,20545.89666
245,15.19,61.72,,192,227.3,159,1,20604.25532
246,15.17,61.76,,165.5,200.6,157,1,20607.90274
247,15.22,59.95,,142.6,175,150,1,21198.78419
248,15.17,61.92,,119.9,148.2,156,1,22008.51064
249,15.02,62.32,,98.7,123.7,155,1,23908.81459
250,14.9,61.82,,77.5,98.6,155,1,25783.58663
251,14.81,61.79,,58.1,75.3,151,1,26764.74164
252,14.68,62.05,,22.4,25.24,158,1,27195.13678
253,14.54,64.02,,11.04,11.2,154,1,27206.07903
254,14.38,64.55,,6.504,6.524,150,1,27114.89362
255,14.23,65.55,,3.071,3.089,151,1,26888.7538
256,14.11,65.79,,0.933,0.946,154,1,26950.75988
257,14.03,66.72,0.074,0.143,0.189,150,1,26979.93921
258,13.95,67.52,0.074,0.037,0.119,158,1,26786.62614
259,13.87,68.59,0.075,0.066,0.1,154,1,26731.91489
260,13.74,69.46,0.074,0.081,0.093,158,1,26888.7538
261,13.55,69.9,0.076,0.029,0.104,150,1,27045.59271
262,13.43,69.86,0.076,0.04,0.108,159,1,26874.16413
263,13.35,69.86,0.076,0.073,0.078,159,1,26866.8693
264,13.2,70.5,0.076,0.055,0.122,156,1,26739.20973
265,13.42,68.89,0.073,0.055,0.096,158,1,26531.30699
266,13.55,68.12,0.077,0.055,0.074,159,1,26881.45897
267,13.42,68.52,0.075,0.055,0.093,157,1,26921.58055
268,13.3,69.03,0.075,0.055,0.093,151,1,26859.57447
269,13.33,68.72,0.076,0.066,0.108,155,1,26808.51064
270,13.45,68.59,0.075,0.066,0.122,154,1,26691.79331
271,13.47,66.99,0.074,0.048,0.078,154,1,26564.13374
272,13.29,66.99,0.075,0.051,0.067,153,1,26316.10942
273,13.15,66.42,0.078,0.055,0.093,150,1,26082.67477
274,13.03,66.62,0.074,0.07,0.085,159,1,25710.6383
275,12.93,67.29,0.076,0.07,0.111,151,1,25572.03647
276,12.88,67.46,0.075,0.051,0.119,153,1,25003.03951
277,12.86,67.76,0.074,0.084,0.093,150,1,24755.0152
278,12.87,67.96,0.075,0.066,0.134,150,1,24295.44073
279,12.92,68.52,0.074,0.037,0.148,157,1,23700.91185
280,12.96,68.62,0.075,0.102,0.063,159,1,23401.82371
281,12.88,69.33,0.075,0.062,0.152,157,1,22869.30091
282,12.77,69.86,0.075,0.11,0.1,156,1,22271.12462
283,12.82,70.1,0.075,0.077,0.1,153,1,21753.19149
284,12.75,70.4,0.071,0.051,0.152,151,1,21136.77812
285,12.54,71.5,0.077,0.051,0.1,159,1,20593.31307
286,12.23,72.9,0.077,0.059,0.111,150,1,20221.2766
287,12.19,72.8,0.077,0.07,0.122,159,1,19455.31915
288,12.31,72.6,0.072,0.044,0.152,150,1,19079.63526
289,12.08,74,0.076,0.117,0.093,159,1,18579.93921
290,12.16,74,0.072,0.07,0.141,152,1,18076.59574
291,12.07,74.1,0.074,0.102,0.119,156,1,17595.13678
292,11.48,76.8,0.077,0.07,0.145,150,1,17190.27356
293,11.45,77.7,0.074,0.073,0.115,152,1,16737.99392
294,11.8,76.6,0.076,0.018,0.23,156,1,16037.68997
295,12.23,75.1,0.074,0.062,0.145,150,1,15749.54407
296,12.39,71,0.078,0.062,0.148,155,1,15578.1155
297,12.42,71.4,0.077,0.059,0.159,155,1,15432.21884
298,12.4,71.5,0.075,0.062,0.156,152,1,14994.52888
299,11.84,73.4,0.079,0.073,0.152,153,1,14837.68997
300,11.51,73,0.076,0.044,0.148,153,1,14710.0304
301,11.35,73.6,0.081,0.095,0.134,153,1,14538.60182
302,11.27,73.8,0.077,0.055,0.159,157,1,14155.6231
303,11.33,74.5,0.073,0.044,0.13,157,1,14111.8541
304,11.44,75,0.078,0.081,0.119,155,1,13940.42553
305,12.26,75.5,0.076,0.073,0.163,155,1,13816.41337
306,13.08,70.9,0.076,0.062,0.174,159,1,13889.3617
307,12.78,71.8,0.078,0.055,0.156,159,1,13944.07295
308,12.34,73.2,0.076,0.088,0.152,152,1,13706.99088
309,12.2,73.8,0.072,0.084,0.178,154,1,13696.04863
310,12.04,74.7,0.077,0.077,0.134,158,1,13586.62614
311,11.96,74.9,0.077,0.07,0.137,154,1,13579.33131
312,11.92,75.2,0.077,0.059,0.182,158,1,13462.61398
313,11.85,75.1,0.083,0.077,0.156,155,1,13586.62614
314,11.66,75.5,0.084,0.07,0.156,159,1,13550.15198
315,11.55,76.1,0.077,0.055,0.156,150,1,13641.33739
316,11.6,75.1,0.081,0.073,0.137,152,1,13747.11246
317,11.17,77.8,0.076,0.077,0.148,158,1,13615.80547
318,10.83,78.5,0.076,0.066,0.148,154,1,13626.74772
319,10.74,78.6,0.077,0.048,0.189,155,1,13739.81763
320,10.57,80.3,0.081,0.04,0.152,153,1,13841.94529
321,10.49,80.3,0.08,0.084,0.141,151,1,13885.71429
322,10.69,81.6,0.078,0.073,0.074,150,1,13940.42553
323,11.22,80,0.076,0.077,0.171,151,1,14144.68085
324,11.36,77.9,0.077,0.062,0.174,155,1,14648.02432
325,11.44,77.5,0.079,0.102,0.122,154,1,15403.03951
326,11.49,76.7,0.073,0.084,0.159,155,1,15326.44377
327,11.33,76.8,0.075,0.062,0.145,150,1,15516.10942
328,11.16,77.3,0.082,0.048,0.163,155,1,15702.12766
329,10.89,77.5,0.082,0.099,0.111,159,1,16034.04255
330,10.27,80.2,0.078,0.077,0.148,151,1,16001.21581
331,10.15,80.8,0.08,0.055,0.193,150,1,16034.04255
332,10,81.6,0.077,0.062,0.145,156,1,16486.32219
333,9.9,81.5,0.076,0.048,0.171,153,1,16639.51368
334,9.67,81.6,0.08,0.084,0.145,153,1,16329.48328
335,9.27,81.5,0.08,0.059,0.167,152,1,15982.97872
336,9.03,81.8,0.079,0.07,0.122,151,1,15899.08815
337,8.85,82.7,0.082,0.146,0.223,150,1,15957.44681
338,8.68,83.1,0.083,0.834,0.849,152,1,16249.24012
339,8.54,83.7,0.078,2.88,2.815,156,1,16635.86626
340,8.38,84.9,0.081,,6.119,153,1,17084.49848
341,,84.9,0.079,,11.68,159,1,17427.35562
342,,85.7,0.082,,20.54,159,1,17595.13678
343,,85.3,0.082,,27.42,157,1,18032.82675
344,,85.5,0.083,,33.31,150,1,18470.51672
345,,85,0.084,,38.03,154,1,18838.90578
346,,84.1,0.081,,40,150,1,19105.16717
347,,84.5,0.082,,41.16,157,1,19141.64134
348,,85.9,0.085,,40.65,157,1,19254.71125
349,,83.3,0.079,,41.27,154,1,19473.55623
350,,77.5,0.084,,42.92,150,1,19728.87538
351,,74.4,0.078,,43.12,150,1,20254.10334
352,,73.2,0.079,,43.18,158,1,20538.60182
353,,72.2,0.084,,43.25,153,1,20994.52888
354,,72.3,0.081,,43.08,150,1,21089.3617
355,,69.24,0.084,,43.97,158,1,21155.0152
356,,67.1,0.078,,44.96,155,1,21246.20061
357,,66.57,0.08,,45.17,155,1,21195.13678
358,,65.1,0.083,,44.82,155,1,21373.86018
359,,64.4,0.079,,44.18,156,1,21424.92401
360,,64.23,0.077,,45.02,154,1,21479.63526
361,,64.43,0.074,,44.71,155,1,21508.81459
362,,63.6,0.074,,45.04,156,1,21822.4924
363,,64.77,0.075,,44.71,151,1,21811.55015
364,,65.33,0.076,,45.15,152,1,21789.66565
365,,64.2,0.074,,44.76,155,1,21833.43465
366,,63.13,0.073,,44.76,151,1,21848.02432
367,,62.93,0.073,,44.55,155,1,21672.94833
368,,62.9,0.074,,44.78,158,1,21669.30091
369,,62.83,0.074,,44.84,154,1,21702.12766
370,,62.7,0.077,,44.76,156,1,21472.34043
371,,63.4,0.076,,44.94,156,1,21344.68085
372,,63.46,0.075,,45.25,150,1,21417.62918
373,,63.7,0.073,,45.01,153,1,21541.64134
374,,63.76,0.075,,44.23,157,1,21545.28875
375,,64.16,0.073,,44.07,153,1,21483.28267
376,,64.19,0.074,,43.33,151,1,21764.13374
377,,64.1,0.074,,43.09,157,1,21698.48024
378,,65.23,0.075,,43.03,157,1,21592.70517
379,,64.86,0.075,,43.02,156,1,21424.92401
380,,64.1,0.075,,45.37,156,1,21574.46809
381,,64.86,0.076,,53.46,150,1,21392.09726
382,,64.93,0.074,,72.7,155,1,21443.16109
383,,65.3,0.075,,104.5,151,1,21439.51368
384,,65.83,0.075,,155.7,158,1,21162.31003
385,,66.4,0.075,,215.7,158,1,21012.76596
386,,66.83,0.071,,256.6,153,1,21045.59271
387,,67.66,0.076,,257.7,158,1,21155.0152
388,,67.73,0.075,,240.7,155,1,21049.24012
389,,67.66,0.076,,218.7,159,1,21224.31611
390,,66.19,0.077,,193.2,153,1,21523.40426
391,,64.99,0.075,,166.5,158,1,21924.62006
392,,65.45,0.073,,142.4,151,1,22686.93009
393,,65.55,0.077,,121.2,151,1,23850.45593
394,,65.82,0.075,,98.6,155,1,25670.51672
395,,67.22,0.073,,75.3,150,1,26786.62614
396,,68.26,0.077,,31.14,157,1,27213.37386
397,,69.56,0.075,,11.93,157,0,27209.72644
398,,70.9,0.076,,6.887,151,0,27300.91185
399,,72.1,0.076,,3.349,151,0,27257.14286
400,,73,0.074,,1.087,158,0,27279.02736
401,,73.7,0.075,,0.189,153,0,27235.25836
402,,77.3,0.076,,0.115,153,0,27184.19453
403,,78.2,0.074,,0.111,151,0,27217.02128
404,,79,0.078,,0.093,156,0,27271.73252
405,,80,0.075,,0.111,158,0,27257.14286
406,,80.5,0.074,,0.115,153,0,27206.07903
407,,81.2,0.076,,0.085,157,0,26998.17629
408,,81.3,0.079,,0.074,154,0,26855.92705
409,,81.5,0.077,,0.093,151,0,26819.45289
410,,81.5,0.078,,0.089,155,0,27151.36778
411,,83.1,0.074,,0.067,152,0,27253.49544
412,,82.9,0.075,,0.1,150,0,27176.8997
413,,83.9,0.076,,0.108,154,0,27155.0152
414,,84.2,0.075,,0.096,153,0,27005.47112
415,,83.4,0.074,,0.082,155,0,26939.81763
416,,83.5,0.073,,0.111,159,0,26772.03647
417,,83.7,0.076,,0.067,155,0,26447.41641
418,,83.9,0.074,,0.1,158,0,26239.51368
419,,84,0.073,,0.085,155,0,25947.72036
420,,83.8,0.073,,0.078,158,0,25407.90274
421,,83.8,0.073,,0.089,154,0,24962.91793
422,,83.9,0.072,,0.108,153,0,24641.94529
423,,84,0.072,,0.093,152,0,24058.35866
424,,83.6,0.073,,0.059,158,0,23544.07295
425,,83.9,0.075,,0.104,157,0,23164.74164
426,,84,0.076,,0.115,152,0,22581.15502
427,,84.3,0.075,,0.104,157,0,21610.94225
428,,85,0.075,,0.078,152,0,21082.06687
429,,84.4,0.074,,0.104,157,0,20768.38906
430,,84.5,0.077,,0.159,155,0,20250.45593
431,,84.7,0.076,,0.059,159,0,19728.87538
432,,84.7,0.073,,0.059,154,0,19148.93617
433,,83.7,0.077,,0.104,155,0,18612.76596
434,,83.5,0.073,,0.111,152,0,18350.15198
435,,82.8,0.076,,0.126,155,0,17803.03951
436,,82.3,0.075,,0.082,158,0,17361.70213
437,,82,0.078,,0.108,155,0,17066.2614
438,,82.7,0.075,,0.111,152,0,16402.43161
439,,82.4,0.074,,0.1,159,0,15833.43465
440,8.14,82.3,0.074,,0.093,155,0,15643.769
441,8.15,82.2,0.076,,0.074,153,0,15140.42553
442,8.33,82.2,0.075,,0.082,157,0,14994.52888
443,8.36,81.4,0.076,,0.093,153,0,14626.13982
444,8.23,80.7,0.076,,0.089,150,0,14378.1155
445,8.13,81.2,0.075,,0.119,155,0,14144.68085
446,8.04,81.2,0.075,,0.115,157,0,14060.79027
447,7.87,81.8,0.074,,0.119,157,0,13987.84195
448,7.91,81.8,0.078,,0.111,155,0,13798.17629
449,7.9,81.8,0.077,,0.1,150,0,13732.5228
450,7.88,81.6,0.077,,0.13,154,0,13608.51064
451,7.89,81.2,0.074,,0.07,155,0,13542.85714
452,7.94,81.2,0.074,,0.13,152,0,13433.43465
453,7.84,80.5,0.073,,0.134,154,0,13353.19149
454,7.59,80.4,0.076,,0.115,158,0,13407.90274
455,7.44,81.1,0.076,,0.126,152,0,13375.07599
456,7.59,81,0.082,,0.111,155,0,13404.25532
457,7.46,81.3,0.091,,0.122,156,0,13294.83283
458,6.991,82.5,0.086,,0.108,157,0,13269.30091
459,6.683,83.5,0.086,,0.082,156,0,13272.94833
460,6.447,84.1,0.087,,0.108,154,0,13393.31307
461,6.091,84.9,0.083,,0.085,154,0,13265.6535
462,5.88,85.9,0.083,,0.111,156,0,13272.94833
463,6.003,86.3,0.085,,0.1,152,0,13524.62006
